Pillar,Category,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Already apply to Shopping campaign,Already apply to DNV campaign,Notes about UI availability,Notes about applicable level,Notes about campaign type coverage,Item,Owner GPM,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,WebUI Weightage,Recommendation,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,IO budget depleting in 15 days,Kamal Manchanda,Health check - IO budget depleting in 15 days,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Nearing credit limit,Kamal Manchanda,Health check - Nearing credit limit,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Abnormal account status,Kamal Manchanda,Health check - Abnormal account status,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Health check ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Abnormal bill-to-customer status,Kamal Manchanda,Health check - Abnormal bill-to-customer status,-,,Not Included in UCM DMS,WebUI Ready,,-,-,-,-
Budget & Bidding,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,"Expand to Search, Shopping, DNV",Autobidding except non-eCPC,Neha Mohan,Feature adoption - Autobidding except non-eCPC,8.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,Expand to Search,Maximize clicks,Neha Mohan,Feature adoption - Maximize clicks,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,-,-,-,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,Expand to Search,Target Impression Share,Neha Mohan,Feature adoption - Target Impression Share,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,"Expand to Search, Pmax, Shopping, DNV",Maximize Conversions,Neha Mohan,Feature adoption - Maximize Conversions,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,-,Can apply to Shopping campaign,-,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,"Expand to Search, Shopping",Target CPA,Neha Mohan,Feature adoption - Target CPA,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,-,Can apply to Shopping campaign,-,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,"Expand to Search, Shopping",Target ROAS,Neha Mohan,Feature adoption - Target ROAS,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the FA,Need to enable campaign level,"Expand to Search, Pmax, Shopping, DNV",Autobidding Strategies,Neha Mohan,Feature adoption - Autobidding Strategies,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Shared budgets,Neha Mohan,Feature adoption - Shared budgets,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Budget & Bidding,Tactic ,-,-,-,-,-,-,-,-,,Not applicable to campaign level,,Reallocate budget,Neha Mohan,Tactic - Reallocate budget,-,RAB-I,Included in UCM DMS,WebUI Ready,,Reallocate budget,-,-,-
Budget & Bidding,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Increase keyword bids for more traffic,Neha Mohan,Tactic - Increase bids for more traffic,-,IBT-I,Included in UCM DMS,WebUI Ready,,Increase KW bid,Can apply to campaign level,-,Can apply to existing campaign
Budget & Bidding,Tactic ,-,-,-,Can apply to DNV campaign,-,-,-,Already apply to DNV campaign,WebUI does not have the Recommendation,,,Bid recommendation for audience campaign,Neha Mohan,Tactic - Bid recommendation for audience campaign,-,BDA-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,-,Can apply to existing campaign
Budget & Bidding,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,Already apply to Search campaign,Already apply to Pmax campaign,Already apply to Shopping campaign,Already apply to DNV campaign,,,,Increase budget - performance,Neha Mohan,Tactic - Increase budget - performance,-,AC2-I,Included in UCM DMS,WebUI Ready,,Budget recommendation,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Budget & Bidding,Tactic ,-,-,-,Can apply to DNV campaign,-,-,-,Already apply to DNV campaign,,,,Increase budget for audience campaign,Neha Mohan,Tactic - Increase budget for audience campaign,-,OBA-I,Included in UCM DMS,WebUI Ready,,Budget recommendation,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Health check ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the HC,,,No Audiences applied to Search Campaigns with a 0% bid modifier,Neha Mohan,Health check - No Audiences applied to Search Campaigns with a 0% bid modifier,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Remarketing performance is better than non-audience,Kamal Manchanda,Health check - Remarketing performance is better than non-audience,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,In-market performance is better than non-audience,Kamal Manchanda,Health check - In-market performance is better than non-audience,6.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Customer match performance is better than non-audience,Kamal Manchanda,Health check - Customer match performance is better than non-audience,7.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Spend through Audience is above 20%,Kamal Manchanda,Health check - Spend through Audience is above 20%,7.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Have active UET tags but don't have remarketing lists,Kamal Manchanda,Health check - Have active UET tags but don't have remarketing lists,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Remarketing lists with user size decrease,Kamal Manchanda,Health check - Remarketing lists with user size decrease,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Have remarketing lists but without at least 1000 users,Kamal Manchanda,Health check - Have remarketing lists but without at least 1000 users,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Completely without active remarketing associations,Kamal Manchanda,Health check - Completely without active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,-,-,-,-,-,-,-,-,WebUI does not have the HC,Not applicable to campaign level,,Partial ad groups with active remarketing associations,Kamal Manchanda,Health check - Partial ad groups with active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Health check ,Can apply to Search campaign,-,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,Need to enable campaign level,"Expand to Search, Shopping, DNV",Associated with active ad groups but without at least 1000 users,Kamal Manchanda,Health check - Associated with active ad groups but without at least 1000 users,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Health check ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the HC,Need to enable campaign level,"Expand to Search, Shopping, DNV",Bid modifier is zero for active remarketing associations,Kamal Manchanda,Health check - Bid modifier is zero for active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Remarketing Associations,Kamal Manchanda,Feature adoption - Remarketing Associations,5.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,In-Market Association,Kamal Manchanda,Feature adoption - In-Market Association,6.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Customer Match,Kamal Manchanda,Feature adoption - Customer Match,8.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,MSAN AWF,Anil Biradar,Feature adoption - MSAN AWF,10.00%,,Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Feature adoption ,-,-,-,-,-,-,-,-,WebUI does not have the FA,Not applicable to campaign level,,Similar Audiences,Kamal Manchanda,Feature adoption - Similar Audiences,-,,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,-
Audience,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,,Adopt Remarketing - Lists and Associations,Kamal Manchanda,Tactic - Adopt Remarketing - Lists and Associations,-,RM-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,,Adopt In-Market Audiences,Kamal Manchanda,Tactic - Adopt In-Market Audiences,-,IMA-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,Can apply to Search campaign,Can apply to Pmax campaign,Can apply to Shopping campaign,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,,Adopt Customer Match,Kamal Manchanda,Tactic - Adopt Customer Match,-,ACM-I,Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,-,-,-,Can apply to DNV campaign,-,-,-,-,WebUI does not have the Recommendation,,,Remarketing list adoption for audience campaign,Kamal Manchanda,Tactic - Remarketing list adoption for audience campaign,-,RMA-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,X-Border expansion - MSAN audience campaign,Neha Mohan,Tactic - X-Border expansion - MSAN audience campaign,-,XBA-I,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,Can apply to existing campaign
Audience,Tactic ,-,-,-,-,-,-,-,-,WebUI does not have the Recommendation,Not applicable to campaign level,,Feed-based campaign adoption in Audience network,Neha Mohan,Tactic - Feed-based campaign adoption in Audience network,-,FAA-I,Not Included in UCM DMS,WebUI Not Ready,,-,-,-,Can apply to existing campaign
Audience,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,WebUI does not have the Recommendation,,,Adopt Microsoft Audience Ads for Audience Campaigns,Anil Biradar,Tactic - Adopt Microsoft Audience Ads for Audience Campaigns,-,AAC-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,Can apply to Search campaign,-,-,-,Already apply to Search campaign,-,-,-,,,,Adopt Image Extensions for Audience Ads,Anil Biradar,Tactic - Adopt Image Extensions for Audience Ads,-,IMGA-I,Not Included in UCM DMS,WebUI Ready,,Adopt image ext,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,-,-,-,Can apply to DNV campaign,-,-,-,Already apply to DNV campaign,WebUI does not have the Recommendation,,,Bid recommendation for Audience campaign,Anil Biradar,Tactic - Bid recommendation for Audience campaign,-,BDA-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Audience,Tactic ,-,-,-,Can apply to DNV campaign,-,-,-,Already apply to DNV campaign,WebUI does not have the Recommendation,,,Remove O&O website exclusion-AWF,Anil Biradar,Tactic - Remove O&O website exclusion-AWF,-,RWA-I,Not Included in UCM DMS,WebUI Not Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
Ads,Health check ,Can apply to Search campaign,-,-,Can apply to DNV campaign,Already apply to Search campaign,-,-,Already apply to DNV campaign,This HC is only available for Search (NRT),,Expand to DNV,Campaign does not have active ads,Neha Mohan,Health check - Campaign does not have active ads,-,,Not Included in UCM DMS,WebUI Partially Ready,,-,Can apply to campaign level,Can apply to new campaign,Can apply to existing campaign
