Pillar,Category,Item,Item2,UCM DMS Weightage,Tactic code,UCM status,WebUI status,Notes,WebUI Weightage,Recommendation,Campaign,Account,Manager Account,Campaign creation,Existing campaign
Targeting,Tactic ,Targeting Optimization (Ad schedule & device targeting settings),Tactic - Targeting Optimization (Ad schedule & device targeting settings),-,TAO-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Tactic ,Search partners website optimization,Tactic - Search partners website optimization,-,SYNO-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Tactic ,Fix disapproved ads and keywords,Tactic - Fix disapproved ads and keywords,-,FDA-I,Included in UCM DMS,WebUI Ready,,,NRT - Repair Ads and KWs,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Tactic ,Adopt Broad Match,Tactic - Adopt Broad Match,-,BMA-I,Included in UCM DMS,WebUI Ready,,,Adopt BM,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Bridge Syndication gap,Tactic - Bridge Syndication gap,-,SYN-I,Included in UCM DMS,WebUI Ready,,,Syndication winback,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Remove O&O website exclusions-SWF,Tactic - Remove O&O website exclusions-SWF,-,RWS-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Cross border expansion,Tactic - Cross border expansion,-,XBE-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,-
Targeting,Tactic ,Add keywords (ads & landing pages),Tactic - Add keywords (ads & landing pages),-,IN1-I,Included in UCM DMS,WebUI Ready,,,Add KWs from LP and Ads,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Add keywords (emerging and rising queries),Tactic - Add keywords (emerging and rising queries),-,KWR-I,Included in UCM DMS,WebUI Ready,,,Add KWs from rising query,Campaign,Account,Manager Account,New campaign,Existing campaign
Targeting,Tactic ,Add keywords (negatives),Tactic - Add keywords (negatives),-,CT4-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Targeting,Tactic ,Adopt Audience ads for search campaigns,Tactic - Adopt Audience ads for search campaigns,-,AA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,80% of Keywords showing in the mainline of search results,Health check - 80% of Keywords showing in the mainline of search results,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Health check ,Campaign capped by budget in last 14 days,Health check - Campaign capped by budget in last 14 days,4.00%,,Included in UCM DMS,WebUI Partially Ready,This HC is only available for Pmax,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,Campaign limited by ad schedule,Health check - Campaign limited by ad schedule,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Health check ,Impression share of the top 20% keywords is at 100%,Health check - Impression share of the top 20% keywords is at 100%,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Health check ,No Impressions Lost to Budgets (>1%),Health check - No Impressions Lost to Budgets (>1%),5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Health check ,Impression Share Lost to Rank less than 30%,Health check - Impression Share Lost to Rank less than 30%,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Health check ,payment errors,Health check - payment errors,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,Don't have active IO,Health check - Don't have active IO,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO balance less than 5%,Health check - IO balance less than 5%,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO balance less than 15%,Health check - IO balance less than 15%,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO balance less than 25%,Health check - IO balance less than 25%,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO budget depleting in 5 days,Health check - IO budget depleting in 5 days,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO budget depleting in 7 days,Health check - IO budget depleting in 7 days,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,IO budget depleting in 15 days,Health check - IO budget depleting in 15 days,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,Nearing credit limit,Health check - Nearing credit limit,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,Abnormal account status,Health check - Abnormal account status,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Health check ,Abnormal bill-to-customer status,Health check - Abnormal bill-to-customer status,-,,Not Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Autobidding except non-eCPC,Feature adoption - Autobidding except non-eCPC,8.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Maximize clicks,Feature adoption - Maximize clicks,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Target Impression Share,Feature adoption - Target Impression Share,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Maximize Conversions,Feature adoption - Maximize Conversions,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Target CPA,Feature adoption - Target CPA,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Target ROAS,Feature adoption - Target ROAS,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Autobidding Strategies,Feature adoption - Autobidding Strategies,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Feature adoption ,Shared budgets,Feature adoption - Shared budgets,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Tactic ,Reallocate budget,Tactic - Reallocate budget,-,RAB-I,Included in UCM DMS,WebUI Ready,,,Reallocate budget,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Tactic ,Increase bids for more traffic,Tactic - Increase bids for more traffic,-,IBT-I,Included in UCM DMS,WebUI Ready,,,Increase KW bid,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Tactic ,Bid recommendation for audience campaign,Tactic - Bid recommendation for audience campaign,-,BDA-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Budget & Bidding,Tactic ,Increase budget - performance,Tactic - Increase budget - performance,-,AC2-I,Included in UCM DMS,WebUI Ready,,,Budget recommendation,Campaign,Account,Manager Account,New campaign,Existing campaign
Budget & Bidding,Tactic ,Increase budget for audience campaign,Tactic - Increase budget for audience campaign,-,OBA-I,Included in UCM DMS,WebUI Ready,,,Budget recommendation,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,No Audiences applied to Search Campaigns with a 0% bid modifier,Health check - No Audiences applied to Search Campaigns with a 0% bid modifier,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,Remarketing performance is better than non-audience,Health check - Remarketing performance is better than non-audience,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,In-market performance is better than non-audience,Health check - In-market performance is better than non-audience,6.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,Customer match performance is better than non-audience,Health check - Customer match performance is better than non-audience,7.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,Spend through Audience is above 20%,Health check - Spend through Audience is above 20%,7.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,Have active UET tags but don't have remarketing lists,Health check - Have active UET tags but don't have remarketing lists,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,Remarketing lists with user size decrease,Health check - Remarketing lists with user size decrease,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,Have remarketing lists but without at least 1000 users,Health check - Have remarketing lists but without at least 1000 users,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,-,Existing campaign
Audience,Health check ,Completely without active remarketing associations,Health check - Completely without active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,Partial ad groups with active remarketing associations,Health check - Partial ad groups with active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,Associated with active ad groups but without at least 1000 users,Health check - Associated with active ad groups but without at least 1000 users,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Health check ,Bid modifier is zero for active remarketing associations,Health check - Bid modifier is zero for active remarketing associations,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Feature adoption ,Remarketing Associations,Feature adoption - Remarketing Associations,5.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Feature adoption ,In-Market Association,Feature adoption - In-Market Association,6.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Feature adoption ,Customer Match,Feature adoption - Customer Match,8.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Feature adoption ,MSAN AWF,Feature adoption - MSAN AWF,10.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,-
Audience,Feature adoption ,Similar Audiences,Feature adoption - Similar Audiences,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Adopt Remarketing - Lists and Associations,Tactic - Adopt Remarketing - Lists and Associations,-,RM-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Adopt In-Market Audiences,Tactic - Adopt In-Market Audiences,-,IMA-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Adopt Customer Match,Tactic - Adopt Customer Match,-,ACM-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Remarketing list adoption for audience campaign,Tactic - Remarketing list adoption for audience campaign,-,RMA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,X-Border expansion - MSAN audience campaign,Tactic - X-Border expansion - MSAN audience campaign,-,XBA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,Existing campaign
Audience,Tactic ,Feed-based campaign adoption in Audience network,Tactic - Feed-based campaign adoption in Audience network,-,FAA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,Existing campaign
Audience,Tactic ,Adopt Microsoft Audience Ads for Audience Campaigns,Tactic - Adopt Microsoft Audience Ads for Audience Campaigns,-,AAC-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Adopt Image Extensions for Audience Ads,Tactic - Adopt Image Extensions for Audience Ads,-,IMGA-I,Not Included in UCM DMS,WebUI Ready,,,Adopt image ext,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Bid recommendation for Audience campaign,Tactic - Bid recommendation for Audience campaign,-,BDA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Audience,Tactic ,Remove O&O website exclusion-AWF,Tactic - Remove O&O website exclusion-AWF,-,RWA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Health check ,Campaign does not have active ads,Health check - Campaign does not have active ads,-,,Not Included in UCM DMS,WebUI Partially Ready,This HC is only available for Search (NRT),,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Health check ,Campaign does not have active keywords,Health check - Campaign does not have active keywords,-,,Not Included in UCM DMS,WebUI Ready,Search and NRT,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Health check ,Ad group does not have RSA,Health check - Ad group does not have RSA,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the HC,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Action Extension,Feature adoption - Action Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Callout Extension,Feature adoption - Callout Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Sitelink Extension,Feature adoption - Sitelink Extension,3.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Image Extension,Feature adoption - Image Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Enhanced Sitelink Extension,Feature adoption - Enhanced Sitelink Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Structured Snippet Extension,Feature adoption - Structured Snippet Extension,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,RSA,Feature adoption - RSA,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,MMA,Feature adoption - MMA,4.00%,,Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Google Import Tool,Feature adoption - Google Import Tool,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,Existing campaign
Ads,Feature adoption ,Facebook Import,Feature adoption - Facebook Import,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,Existing campaign
Ads,Feature adoption ,Expanded Text Ads,Feature adoption - Expanded Text Ads,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Video Ads,Feature adoption - Video Ads,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Price Extension,Feature adoption - Price Extension,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Location Extension,Feature adoption - Location Extension,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Call Extension,Feature adoption - Call Extension,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Review Extension,Feature adoption - Review Extension,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,Microsoft Shopping Campaigns,Feature adoption - Microsoft Shopping Campaigns,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,Existing campaign
Ads,Feature adoption ,Smart Shopping Campaigns,Feature adoption - Smart Shopping Campaigns,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,-,Account,Manager Account,-,Existing campaign
Ads,Feature adoption ,App Extension,Feature adoption - App Extension,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Feature adoption ,App Install Ads,Feature adoption - App Install Ads,-,,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the FA,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt Sitelink Extension,Tactic - Adopt Sitelink Extension,-,SLE-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,,,,-,Existing campaign
Ads,Tactic ,Adopt Image extensions for audience ads,Tactic - Adopt Image extensions for audience ads,-,IMGA-I,Included in UCM DMS,WebUI Ready,,,Adopt image ext,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt Enhanced Sitelink Extn,Tactic - Adopt Enhanced Sitelink Extn,-,ESL-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt Structured Snippet Extn,Tactic - Adopt Structured Snippet Extn,-,SSE-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt RSAs,Tactic - Adopt RSAs,-,RSA-I,Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt Multimedia Ads,Tactic - Adopt Multimedia Ads,-,IMMA-I,Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Disapproved ads & keywords (included in Targeting pillar above),Tactic - Disapproved ads & keywords (included in Targeting pillar above),-,FDA-I,Included in UCM DMS,WebUI Ready,Search and NRT,,,Campaign,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Improve RSAs,Tactic - Improve RSAs,-,RSAA-I,Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Adopt Callout Extension,Tactic - Adopt Callout Extension,-,CAL-I,Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Adopt Facebook import,Tactic - Adopt Facebook import,-,FBI-I,Included in UCM DMS,WebUI Ready,,,,-,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Adopt Google Import,Tactic - Adopt Google Import,-,GIA-I,Included in UCM DMS,WebUI Ready,,,,-,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Improve Google Import Frequency,Tactic - Improve Google Import Frequency,-,GIE-I,Included in UCM DMS,WebUI Ready,,,,-,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Repair missing keyword params issue,Tactic - Repair missing keyword params issue,-,RMKP-I,Included in UCM DMS,WebUI Ready,,,,Campaign,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Update Feeds Or Create New Feeds To Adopt Missing Product URLs,Tactic - Update Feeds Or Create New Feeds To Adopt Missing Product URLs,-,FSA-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Expired and Expiring Feed for Shopping Campaign,Tactic - Expired and Expiring Feed for Shopping Campaign,-,EEF-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Create Catch-all Campaign for Untargeted Product Offers,Tactic - Create Catch-all Campaign for Untargeted Product Offers,-,CUO-I,Not Included in UCM DMS,WebUI Ready,,,Catch all shopping campaign,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Complete Campaign Setup,Tactic - Complete Campaign Setup,-,SET-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
Ads,Tactic ,Compete Tactic,Tactic - Compete Tactic,-,COM-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,-
Ads,Tactic ,Cross Border Opportunity,Tactic - Cross Border Opportunity,-,XBC-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,-,Account,Manager Account,-,-
Ads,Tactic ,Repair Shopping Campaigns,Tactic - Repair Shopping Campaigns,-,RSC-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,-,Existing campaign
Ads,Tactic ,Adopt Review Extension,Tactic - Adopt Review Extension,-,REV-I,Not Included in UCM DMS,WebUI Not Ready,WebUI does not have the Recommendation,,,Campaign,Account,Manager Account,New campaign,Existing campaign
